Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,129.610001,129.949997,129.100006,129.750000,126.911179,1214800
2017-08-07,130.179993,130.500000,129.660004,129.960007,127.116585,1535200
2017-08-08,129.750000,132.220001,129.750000,132.020004,129.131500,3955100
2017-08-09,131.300003,132.500000,131.179993,132.410004,129.512985,1394200
2017-08-10,132.259995,132.259995,127.739998,127.779999,124.984268,2991500
2017-08-11,127.930000,128.509995,126.489998,126.699997,123.927902,2305700
2017-08-14,128.110001,129.169998,127.879997,128.570007,125.756996,2137400
2017-08-15,126.790001,128.080002,126.129997,127.180000,124.397408,2158300
2017-08-16,127.809998,127.980003,126.480003,126.629997,123.859436,1919400
2017-08-17,126.489998,127.040001,123.599998,123.980003,121.267418,4123300
2017-08-18,115.430000,118.410004,112.870003,117.309998,114.743347,11364600
2017-08-21,117.470001,118.389999,116.029999,116.519997,113.970627,4809100
2017-08-22,116.970001,117.519997,116.389999,117.480003,114.909637,3052600
2017-08-23,117.050003,117.129997,115.949997,116.449997,113.902161,2778200
2017-08-24,116.639999,116.639999,115.239998,115.440002,112.914268,2738700
2017-08-25,116.080002,116.260002,115.059998,115.839996,113.305504,1861100
2017-08-28,116.440002,116.529999,115.110001,115.959999,113.422882,1471500
2017-08-29,115.000000,115.940002,114.529999,115.889999,113.354416,2578300
2017-08-30,115.419998,115.639999,114.959999,115.489998,112.963165,1809800
2017-08-31,115.949997,116.440002,115.029999,115.930000,113.393547,2067700
2017-09-01,115.980003,116.660004,115.410004,116.139999,113.598953,1815500
2017-09-05,116.019997,117.150002,115.300003,115.529999,113.002296,3225100
2017-09-06,115.849998,116.790001,115.129997,116.220001,113.677208,3147900
2017-09-07,116.190002,116.760002,114.760002,116.330002,113.784790,2881400
2017-09-08,116.160004,117.919998,115.900002,117.300003,114.733574,3000600
2017-09-11,118.470001,118.589996,116.970001,117.930000,115.349785,2759600
2017-09-12,118.510002,119.250000,116.750000,117.260002,114.694443,3726300
2017-09-13,117.160004,117.959999,116.720001,117.370003,114.802032,2562100
2017-09-14,117.370003,118.730003,117.150002,118.370003,115.780159,1802800
2017-09-15,119.059998,119.449997,118.370003,119.010002,116.406158,6627100
2017-09-18,119.000000,120.059998,118.879997,119.889999,117.266907,2009700
2017-09-19,120.000000,123.370003,119.900002,123.080002,120.387108,3947000
2017-09-20,123.099998,124.110001,122.910004,123.949997,121.238075,2173300
2017-09-21,123.809998,124.839996,123.510002,124.779999,122.049911,1742400
2017-09-22,124.580002,124.820000,123.279999,123.750000,121.042450,1864300
2017-09-25,123.680000,123.910004,123.110001,123.769997,121.062004,1605200
2017-09-26,124.000000,124.430000,123.180000,123.279999,120.582733,1057900
2017-09-27,123.500000,123.900002,122.699997,123.320000,120.621857,2517800
2017-09-28,122.900002,124.230003,122.389999,123.660004,121.545792,2861100
2017-09-29,124.000000,125.639999,123.800003,125.589996,123.442795,3093400
2017-10-02,125.699997,127.309998,125.080002,127.290001,125.113724,2628100
2017-10-03,127.199997,128.289993,126.980003,128.100006,125.909882,1590000
2017-10-04,127.910004,128.559998,127.019997,128.330002,126.135941,1400300
2017-10-05,128.229996,128.429993,127.620003,128.009995,125.821404,1415700
2017-10-06,127.620003,128.309998,127.269997,128.130005,125.939377,1496400
2017-10-09,128.220001,128.720001,127.739998,128.639999,126.440651,988100
2017-10-10,128.979996,128.979996,127.959999,128.250000,126.057320,1123200
2017-10-11,128.009995,128.229996,126.930000,127.769997,125.585518,1868000
2017-10-12,127.599998,129.279999,127.339996,128.500000,126.303040,2751500
2017-10-13,129.020004,129.020004,127.379997,127.910004,125.723137,2023200
2017-10-16,128.300003,128.619995,127.709999,127.720001,125.536377,1249300
2017-10-17,127.779999,129.220001,127.779999,128.690002,126.489799,1777100
2017-10-18,128.529999,129.320007,128.259995,128.720001,126.519279,1701000
2017-10-19,128.240005,128.589996,127.529999,128.520004,126.322708,1637600
2017-10-20,129.000000,129.169998,128.130005,129.149994,126.941925,1384900
2017-10-23,129.279999,130.210007,128.649994,129.589996,127.374397,1337400
2017-10-24,131.500000,132.360001,130.279999,131.020004,128.779953,3153800
2017-10-25,131.399994,131.639999,129.339996,130.559998,128.327820,1498300
2017-10-26,130.910004,132.779999,130.539993,132.139999,129.880798,1786900
2017-10-27,131.899994,133.309998,131.330002,133.250000,130.971802,1658300
2017-10-30,132.869995,133.759995,132.300003,132.300003,130.038071,2708100
2017-10-31,133.289993,133.490005,132.190002,132.880005,130.608154,1319800
2017-11-01,133.869995,134.729996,133.250000,134.270004,131.974411,1558000
2017-11-02,134.070007,135.039993,133.179993,134.440002,132.141495,1641000
2017-11-03,134.589996,135.029999,134.190002,135.029999,132.721390,1056500
2017-11-06,135.009995,135.830002,134.660004,135.309998,132.996613,2432000
2017-11-07,135.539993,136.690002,135.539993,135.710007,133.389786,1234200
2017-11-08,135.750000,135.880005,134.520004,134.639999,132.338058,1271200
2017-11-09,134.000000,134.199997,130.770004,131.279999,129.035507,2879200
2017-11-10,131.610001,132.539993,131.220001,132.229996,129.969254,2990800
2017-11-13,131.500000,133.179993,131.130005,131.910004,129.654739,1820300
2017-11-14,132.050003,133.000000,131.570007,132.880005,130.608154,1591300
2017-11-15,132.289993,133.020004,131.360001,132.270004,130.008591,1764800
2017-11-16,132.770004,135.270004,132.630005,134.610001,132.308594,2065800
2017-11-17,134.009995,136.509995,133.759995,135.770004,133.448746,1965000
2017-11-20,136.179993,137.820007,136.139999,136.919998,134.579071,2564500
2017-11-21,138.559998,140.360001,137.949997,139.229996,136.849594,5917200
2017-11-22,145.529999,146.000000,142.360001,145.250000,142.766663,8094200
2017-11-24,146.130005,147.910004,145.490005,145.500000,143.012405,1964900
2017-11-27,145.750000,148.830002,145.320007,148.770004,146.226501,3880800
2017-11-28,148.050003,149.809998,147.220001,149.380005,146.826065,3992800
2017-11-29,148.919998,149.199997,147.169998,148.440002,145.902130,2421800
2017-11-30,148.949997,150.750000,148.000000,149.860001,147.297836,3726400
2017-12-01,150.250000,150.490005,146.929993,149.940002,147.376480,2022500
2017-12-04,151.990005,152.679993,150.919998,150.970001,148.388870,1893800
2017-12-05,150.669998,152.539993,150.259995,150.669998,148.094009,1802600
